Name,Field(s),Date,Notes,Cleaned_Notes
Justine Siegemund,,1636-1705,German obstetrician,German obstetrician
Mary Somerset,,1630-1715,English botanist,English botanist
Elizabeth Walker,,1623-1690,British pharmacist,British pharmacist
GeneviÃ¨ve Charlotte d'Arconville,,,,
Maria Gaetana Agnesi,,1718-1799,Italian mathematician,Italian mathematician
GeneviÃ¨ve Charlotte d'Arconville,,1720-1805,French anatomist,French anatomist
Madeleine-FranÃ§oise Calais,,1713-1740,French dentist.,French dentist.
Princess Charlotte of Saxe-Meiningen,,1751-1827,German astronomer,German astronomer
Maria Angela Ardinghelli,,1728-1825,Italian mathematician and physicist,Italian mathematician and physicist
Sarah Sophia Banks,,1744-1818,British natural history collector,British natural history collector
Giuseppa Barbapiccola,,1702-1740,"natural philosopher, translator","natural philosopher, translator"
Jeanne Baret,,1740-1807,French circumnavigator and botanist,French circumnavigator and botanist
Laura Bassi,,1711-1778,Italian physicist,Italian physicist
Marie Marguerite BihÃ©ron,,1719-1795,French anatomist,French anatomist
Celia Grillo Borromeo,,1684-1777,Italian natural philosopher,Italian natural philosopher
Jacoba van den Brande,,1735-1794,Dutch founder of first all-female science academy,Dutch founder of first all-female science academy
Maria Christina Bruhn,,1732-1808,Swedish inventor,Swedish inventor
Margaret Bryan,,1760-1815,British natural philosopher,British natural philosopher
Elsa Beata Bunge,,1734-1819,Swedish botanist,Swedish botanist
Lydia Byam,,1797-1800,naturalist,naturalist
MarÃ­a Andrea Casamayor,,1700-1780,Spanish mathematician,Spanish mathematician
Ãmilie du ChÃ¢telet,,1706-1749,French mathematician and physicist,French mathematician and physicist
Maria Medina Coeli,,1764-1846,Italian physician,Italian physician
Jane Colden,,1724-1766,American biologist,American biologist
Rosalie de Constant,,1758-1834,Swiss naturalist,Swiss naturalist
AngÃ©lique du Coudray,,1712-1794,French midwife,French midwife
Maria Dalle Donne,,1778-1842,Italian physician,Italian physician
Catharina Helena DÃ¶rrien,,1717-1795,German botanist,German botanist
